Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,22
design__inferred_latch__count,0
design__instance__count,96955
design__instance__area,2.71762E+6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,62
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.000011275109500274993
power__switching__total,0.00005599631549557671
power__leakage__total,0.00007849496614653617
power__total,0.00014576638932339847
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,0.0
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.0
timing__hold__ws__corner:nom_fast_1p32V_m40C,1.0000000433293989E+39
timing__setup__ws__corner:nom_fast_1p32V_m40C,1.0000000433293989E+39
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,7
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,62
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,0.0
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.0
timing__hold__ws__corner:nom_slow_1p08V_125C,1.0000000433293989E+39
timing__setup__ws__corner:nom_slow_1p08V_125C,1.0000000433293989E+39
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,62
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,0.0
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.0
timing__hold__ws__corner:nom_typ_1p20V_25C,1.0000000433293989E+39
timing__setup__ws__corner:nom_typ_1p20V_25C,1.0000000433293989E+39
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,7
design__max_fanout_violation__count,62
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,1.0000000433293989E+39
timing__setup__ws,1.0000000433293989E+39
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2000.0 2000.0
design__core__bbox,380.16 381.78 1620.0 1617.84
design__io,22
design__die__area,4E+6
design__core__area,1.53252E+6
design__instance__count__stdcell,2
design__instance__area__stdcell,10.8864
design__instance__count__macros,8
design__instance__area__macros,251640
design__instance__count__padcells,181
design__instance__area__padcells,1.1088E+6
design__instance__count__cover,27
design__instance__area__cover,132300
design__instance__utilization,0.164207
design__instance__utilization__stdcell,0.00000849918
design__rows,611
design__rows:CoreSite,611
design__sites,675088
design__sites:CoreSite,675088
design__instance__count__class:macro,8
design__instance__area__class:macro,251640
design__instance__count__class:input_pad,16
design__instance__area__class:input_pad,230400
design__instance__count__class:input_output_pad,7
design__instance__area__class:input_output_pad,100800
design__instance__count__class:power_pad,4
design__instance__area__class:power_pad,57600
flow__warnings__count,4
flow__errors__count,0
design__instance__count__class:pad_spacer,154
design__instance__area__class:pad_spacer,720000
design__instance__count__class:cover,27
design__instance__area__class:cover,132300
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count,0
timing__drv__floating__nets,4
timing__drv__floating__pins,21
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,13302.7
design__violations,0
global_route__vias,75
global_route__wirelength,13652
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,10.8864
route__net,528
route__net__special,24
route__drc_errors__iter:0,3
route__wirelength__iter:0,13230
route__drc_errors__iter:1,0
route__wirelength__iter:1,13232
route__drc_errors,0
route__wirelength,13232
route__vias,70
route__vias__singlecut,70
route__vias__multicut,0
route__wirelength__max,1555.72
design__instance__count__class:fill_cell,96737
design__instance__area__class:fill_cell,1.22487E+6
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,16
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,16
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,16
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,16
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__average__net:VDD__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__worst__net:VDD__corner:nom_typ_1p20V_25C,6.63595E-7
design_powergrid__voltage__worst__net:VSS__corner:nom_typ_1p20V_25C,6.59912E-7
design_powergrid__drop__average__net:VSS__corner:nom_typ_1p20V_25C,5.03145E-7
design_powergrid__drop__worst__net:VSS__corner:nom_typ_1p20V_25C,6.59912E-7
