Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,2272
design__instance__area,23574.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,35
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0000037511010759772034
power__switching__total,0.000021123916667420417
power__leakage__total,0.0000012717765685010818
power__total,0.000026146795789827593
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,0.0
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.0
timing__hold__ws__corner:nom_fast_1p32V_m40C,3.83858999895528
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.267796903343648
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,7
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,35
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,0.0
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.0
timing__hold__ws__corner:nom_slow_1p08V_125C,3.972993602117595
timing__setup__ws__corner:nom_slow_1p08V_125C,2.06238498783029
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,Infinity
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,35
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,0.0
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.0
timing__hold__ws__corner:nom_typ_1p20V_25C,3.8900466171558996
timing__setup__ws__corner:nom_typ_1p20V_25C,3.4451495964505723
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,7
design__max_fanout_violation__count,35
design__max_cap_violation__count,0
clock__skew__worst_hold,0.0
clock__skew__worst_setup,0.0
timing__hold__ws,3.83858999895528
timing__setup__ws,2.06238498783029
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,inf
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 40.0 700.0
design__core__bbox,2.88 3.78 36.96 695.52
design__io,266
design__die__area,28000
design__core__area,23574.5
design__instance__count__stdcell,335
design__instance__area__stdcell,2687.13
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.113984
design__instance__utilization__stdcell,0.113984
design__rows,183
design__rows:CoreSite,183
design__sites,12993
design__sites:CoreSite,12993
design__instance__count__class:multi_input_combinational_cell,335
design__instance__area__class:multi_input_combinational_cell,2687.13
flow__warnings__count,4
flow__errors__count,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,26913.2
design__violations,0
global_route__vias,2262
global_route__wirelength,34114
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,343
route__net__special,2
route__drc_errors__iter:0,130
route__wirelength__iter:0,29991
route__drc_errors__iter:1,55
route__wirelength__iter:1,30016
route__drc_errors__iter:2,22
route__wirelength__iter:2,29941
route__drc_errors__iter:3,0
route__wirelength__iter:3,29920
route__drc_errors,0
route__wirelength,29920
route__vias,2677
route__vias__singlecut,2677
route__vias__multicut,0
route__wirelength__max,576.565
design__instance__count__class:fill_cell,1937
design__instance__area__class:fill_cell,20887.4
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,0
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19996
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.2
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0000416168
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000345994
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.00000452388
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000345994
design_powergrid__voltage__worst,0.0000345994
design_powergrid__voltage__worst__net:VPWR,1.19996
design_powergrid__drop__worst,0.0000416168
design_powergrid__drop__worst__net:VPWR,0.0000416168
design_powergrid__voltage__worst__net:VGND,0.0000345994
design_powergrid__drop__worst__net:VGND,0.0000345994
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
